Sample	tss_up_1kb-5kb_total_bases	3_utr_exons_total_bases	total_tags	tes_down_10kb_tags_kb	tes_down_1kb-5kb_total_bases	cds_exons_tag_pct	introns_tag_pct	cds_exons_tags_kb	tss_up_1kb_tag_pct	cds_exons_tag_count	tes_down_1kb-5kb_tag_count	5_utr_exons_tags_kb	introns_tags_kb	tes_down_1kb_total_bases	tes_down_5kb-10kb_total_bases	total_reads	tss_up_1kb-5kb_tag_count	cds_exons_total_bases	tes_down_1kb_tags_kb	tss_up_1kb_tag_count	tss_up_5kb-10kb_tag_count	tes_down_1kb_tag_count	tes_down_10kb_tag_pct	tes_down_1kb_tag_pct	tss_up_10kb_tags_kb	3_utr_exons_tag_pct	tes_down_5kb_tag_pct	3_utr_exons_tags_kb	tes_down_5kb_tags_kb	5_utr_exons_total_bases	introns_tag_count	total_assigned_tags	5_utr_exons_tag_count	3_utr_exons_tag_count	tss_up_5kb_tag_pct	other_intergenic_tag_pct	tss_up_1kb_total_bases	tss_up_10kb_tag_pct	5_utr_exons_tag_pct	other_intergenic_tag_count	tss_up_5kb-10kb_total_bases	tes_down_5kb-10kb_tag_count	tss_up_5kb_tags_kb	introns_total_bases	tss_up_1kb_tags_kb
SHAM_24Hr_SRR12108290_read_distribution	123207134	61314908	18631007	0.27	124532769	61.04031306520361	1.6354671542982084	308.17	0.01992377545668895	11372425	33678	14.2	0.28	37311462	123615777	16012570	6982	36902569	0.96	3712	11276	35828	0.41341834072629563	0.19230307841116692	0.08	30.216332375378315	0.3730662545508141	91.81	0.43	36900028	304704	17929582	523852	5629607	0.05739893715889861	3.764826023628245	34872227	0.11792169902571556	2.8117213417396063	701425	125265442	7518	0.07	1097934901	0.11
SHAM_24Hr_SRR12108292_read_distribution	123207134	61314908	17086437	0.23	124532769	62.68989842645368	1.708448636775473	290.26	0.021391235633268654	10711470	27904	12.22	0.27	37311462	123615777	14681272	6407	36902569	0.81	3655	8577	30082	0.3768895762176749	0.17605777026538652	0.07	28.811395845722547	0.33936858807953935	80.29	0.36	36900028	291913	16460256	450996	4922841	0.05888881339041019	3.664783945301177	34872227	0.1090865228367974	2.639497046692649	626181	125265442	6411	0.06	1097934901	0.1
SHAM_24Hr_SRR12108293_read_distribution	123207134	61314908	11711794	0.16	124532769	60.52034385167635	1.314410072444922	192.07	0.015334969177224256	7088018	18194	7.75	0.14	37311462	123615777	10086558	3734	36902569	0.6	1796	4908	22571	0.37935264230228094	0.1927202613024102	0.04	31.627622548688954	0.348067939036496	60.41	0.25	36900028	153941	11287039	286051	3704162	0.04721736055125287	3.6267287488150837	34872227	0.08912383534068308	2.442418300731724	424755	125265442	3664	0.03	1097934901	0.05
SHAM_24Hr_SRR12108295_read_distribution	123207134	61314908	16130203	0.99	124532769	48.02246444139605	4.619328101450428	209.91	0.013267036998852401	7746121	210974	50.59	0.68	37311462	123615777	14181814	5300	36902569	0.73	2140	117322	27166	1.7531645447983513	0.16841697528543192	0.44	26.445767607512444	1.4763608368722947	69.57	1.47	36900028	745107	15031154	1866619	4265756	0.046124651996010214	6.813609227360623	34872227	0.773468257033095	11.572197820449006	1099049	125265442	44649	0.05	1097934901	0.06
SHAM_24Hr_SRR12108296_read_distribution	123207134	61314908	20789326	0.26	124532769	63.617512179086525	1.430604339938678	358.39	0.021140656508056105	13225652	31064	14.72	0.27	37311462	123615777	17697301	7014	36902569	0.98	4395	7735	36696	0.35901596809824426	0.17651365898057494	0.07	28.241555305833387	0.32593649260202084	95.76	0.42	36900028	297413	20031401	543326	5871229	0.054879124027397516	3.645741088479732	34872227	0.09208571744942573	2.613485401114014	757925	125265442	6877	0.07	1097934901	0.13
SHAM_6Hr_SRR12108300_read_distribution	123207134	61314908	8724234	0.11	124532769	65.30679942789247	1.3263284776634832	154.39	0.02207643673931717	5697518	13580	6.96	0.11	37311462	123615777	7305656	3258	36902569	0.38	1926	4697	14147	0.35574469919078283	0.16215750288220146	0.03	26.746772266768637	0.3178158678458189	38.06	0.17	36900028	115712	8444412	256814	2333451	0.05942068954133967	3.207410530254003	34872227	0.11325922711380736	2.9436853711168225	279822	125265442	3309	0.03	1097934901	0.06
SHAM_6Hr_SRR12108301_read_distribution	123207134	61314908	16989425	0.2	124532769	64.34890527489895	1.4996622899244676	296.25	0.02256697916498057	10932509	22448	12.21	0.23	37311462	123615777	14506032	6106	36902569	0.76	3834	5953	28356	0.3303643295756037	0.16690382399639775	0.06	27.488823194428296	0.2990330749863518	76.17	0.31	36900028	254784	16380001	450495	4670193	0.058506983020319994	3.5870784326132283	34872227	0.09354642667424001	2.651620051885217	609424	125265442	5323	0.06	1097934901	0.11
SHAM_6Hr_SRR12108304_read_distribution	123207134	61314908	35530713	0.44	124532769	64.31292836707217	1.4210804044377043	619.22	0.02349798046552007	22850842	54140	26.8	0.46	37311462	123615777	30221804	14326	36902569	1.63	8349	16425	60945	0.3574231679504996	0.17152765833885744	0.14	27.48826064931486	0.32390287242476673	159.29	0.71	36900028	504920	34277408	988776	9766775	0.06381802695600283	3.5273848852962786	34872227	0.1100456385437579	2.7828768873847256	1253305	125265442	11910	0.14	1097934901	0.24
SHAM_6Hr_SRR12108307_read_distribution	123207134	61314908	11050355	0.16	124532769	66.20141162885717	1.5403758521785047	198.24	0.02233412410732506	7315491	22708	9.21	0.16	37311462	123615777	9185388	3738	36902569	0.45	2468	9087	16849	0.411660982837203	0.15247473949931925	0.05	25.303458576670163	0.35797040004597136	45.6	0.24	36900028	170217	10682453	339840	2796122	0.05616109165723635	3.3293229041057955	34872227	0.1383937439113947	3.075376311439768	367902	125265442	5933	0.04	1097934901	0.07
SHAM_6Hr_SRR12108308_read_distribution	123207134	61314908	15006334	0.18	124532769	63.705419324933054	1.4164352199544539	259.06	0.02241053677733682	9559848	21335	9.92	0.19	37311462	123615777	12901734	6773	36902569	0.7	3363	6287	25939	0.34770650846502554	0.17285367632094553	0.06	28.28623566555296	0.31502697460952156	69.23	0.29	36900028	212555	14451707	365976	4244727	0.06754481141096819	3.6959526557252422	34872227	0.10944045361112181	2.438810171758139	554627	125265442	4904	0.06	1097934901	0.1
