Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-median_sequence_length	STAR_mqc-generalstats-star-uniquely_mapped_percent	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	featureCounts_mqc-generalstats-featurecounts-Assigned	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	featureCounts_mqc-generalstats-featurecounts-percent_assigned	STAR_mqc-generalstats-star-uniquely_mapped
MI_6Hr_SRR12108305.gencode			70.77			10255969			54.13112915100482	10957403.0
MI_6Hr_SRR12108305_1	74.23153213528579	76		15482185.0	30.0		75.48339236354559	44.0		
MI_6Hr_SRR12108305_2	69.8402824372312	76		15482185.0	30.0		75.47303026026366	45.0		
MI_6Hr_SRR12108306.gencode			76.51			2890850			59.92469535490071	3045640.0
MI_6Hr_SRR12108306_1	66.59496504297745	76		3980622.0	30.0		75.42936606389655	46.0		
MI_6Hr_SRR12108306_2	61.850202298665785	76		3980622.0	30.0		75.39426049496787	46.0		
SHAM_24Hr_SRR12108290.gencode			71.06			5605284			55.43421083731877	6070892.0
SHAM_24Hr_SRR12108290_1	72.05252265806838	76		8543745.0	30.0		75.37398471045192	43.0		
SHAM_24Hr_SRR12108290_2	66.22087208434792	76		8543745.0	30.0		75.35803994618286	45.0		
SHAM_24Hr_SRR12108292.gencode			70.15			5187084			55.90827268438464	5553590.0
SHAM_24Hr_SRR12108292_1	71.23605677706685	76		7917133.0	30.0		75.43842891107172	43.0		
SHAM_24Hr_SRR12108292_2	64.34540960095187	76		7917133.0	40.0		75.43026509722648	46.0		
SHAM_24Hr_SRR12108293.gencode			70.62			3552591			55.56814529153172	3790649.0
SHAM_24Hr_SRR12108293_1	70.50193040655836	76		5367642.0	30.0		75.4566420413284	43.0		
SHAM_24Hr_SRR12108293_2	64.55573436901855	76		5367642.0	30.0		75.44711308988192	45.0		
SHAM_24Hr_SRR12108295.gencode			69.67			4718781			53.03202388316275	5562754.0
SHAM_24Hr_SRR12108295_1	77.10928189326593	76		7984554.0	30.0		75.50579869583198	46.0		
SHAM_24Hr_SRR12108295_2	69.70882792575475	76		7984554.0	40.0		75.49551120826536	49.0		
SHAM_24Hr_SRR12108296.gencode			71.14			6369326			57.47939276567404	6782074.0
SHAM_24Hr_SRR12108296_1	71.56024077326802	76		9533065.0	30.0		75.48856259765354	44.0		
SHAM_24Hr_SRR12108296_2	65.00525105723342	76		9533065.0	30.0		75.46613035786497	45.0		
SHAM_6Hr_SRR12108300.gencode			75.88			2716637			59.818740630741566	2841670.0
SHAM_6Hr_SRR12108300_1	68.77845686233402	76		3744848.0	30.0		75.47787066390946	45.0		
SHAM_6Hr_SRR12108300_2	63.9402375143557	76		3744848.0	30.0		75.4395844637753	46.0		
SHAM_6Hr_SRR12108301.gencode			70.69			5233145			57.61784714286485	5560110.0
SHAM_6Hr_SRR12108301_1	72.34294840852263	76		7865463.0	30.0		75.49114158950337	44.0		
SHAM_6Hr_SRR12108301_2	65.30512049232942	76		7865463.0	30.0		75.47220627698586	45.0		
SHAM_6Hr_SRR12108304.gencode			74.9			10974094			58.14203202171211	11650046.0
SHAM_6Hr_SRR12108304_1	75.30019920336592	76		15553981.0	20.0		75.49844769644504	44.0		
SHAM_6Hr_SRR12108304_2	70.73763775517048	76		15553981.0	30.0		75.47950605057316	45.0		
SHAM_6Hr_SRR12108307.gencode			75.46			3422279			60.25105140252731	3602328.0
SHAM_6Hr_SRR12108307_1	68.90281779850594	76		4773915.0	30.0		75.45158931401167	46.0		
SHAM_6Hr_SRR12108307_2	63.678169303827495	76		4773915.0	30.0		75.41538695179952	47.0		
SHAM_6Hr_SRR12108308.gencode			65.86			4610704			56.66082735525892	4894802.0
SHAM_6Hr_SRR12108308_1	74.07459791943853	76		7431793.0	30.0		75.48810253461042	43.0		
SHAM_6Hr_SRR12108308_2	64.51605322517692	76		7431793.0	40.0		75.46636538450412	46.0		
